"Cost","Alaska.Vessel","Pacific.Whiting.Trawler","Large.Groundfish.Trawler","Small.Groundfish.Trawler","Sablefish.Fixed.Gear","Other.Groundfish.Fixed.Gear","Pelagic.Netter","Migratory.Netter","Migratory.Liner","Shrimper","Crabber","Salmon.Troller","Salmon.Netter","Other.Netter","Lobster","Diver","OtherG15","OtherL15"
"COST_CAPTAIN",66766.5161290323,230594,100703.419354839,0,36126.9036144578,16912,0,0,41028.9473684211,113402.796610169,28974.5302197802,16493.8053097345,14775,0,0,0,50148.1481481481,536.585365853659
"COST_CREW",169210.322580645,315405,134340.903225806,17263,42875.1686746988,12748,285000,0,5526.31578947368,123758.983050847,33044.3269230769,840.70796460177,9512.5,0,0,0,25061.1111111111,437.19512195122
"COST_FUEL",57539.5698924731,224996.636363636,48618.8387096774,23917,15945.734939759,8397.2,86250,0,27084.2105263158,48658.9830508475,18850.1208791209,6945.58407079646,4278.125,0,0,0,16374.0740740741,339.432926829268
"COST_FOOD",10178.1290322581,10004.3636363636,4764.1935483871,2375,4284.45180722892,652.7,21000,0,6081.57894736842,6122.81355932203,3606.47252747253,1875.66371681416,1378.125,0,0,0,3914.81481481481,58.2134146341463
"COST_ICE",351.612903225806,8237.81818181818,12011.5161290323,2210,2754.21686746988,716,0,0,823.684210526316,12491.2542372881,1171.55769230769,64.6017699115044,53.125,0,0,0,1007.40740740741,267.073170731707
"COST_BAIT",19206.1935483871,0,5337.87096774194,0,20410.6144578313,4666.8,22500,0,14436.8421052632,17686.2033898305,17599.4945054945,102.654867256637,0,0,0,0,12326.4814814815,1656.09756097561
"COST_RMI",26363.3655913979,190667.909090909,48528.4838709677,0,1883.24096385542,0,0,0,0,61480.9830508475,4516.22802197802,0,0,0,0,0,0,0
"COST_INS",33704.8602150538,89832.4545454545,48155.7096774194,7000,9087.73493975904,1656.8,47500,0,12950,45454.3559322034,9686.49725274725,2792.03539823009,1784.375,0,0,0,2966.66666666667,697.274390243902
"COST_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_PUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_LEA",0,0,1061.29032258065,0,54.8192771084337,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_MOORAGE",8177.69892473118,18209.4545454545,7203.96774193548,2475,4355.92168674699,2067.3,16000,0,4278.94736842105,6724.33898305085,3774.73351648352,2832.55752212389,1128.125,0,0,0,2920.74074074074,2076.40243902439
"COST_LANDINGSTAX",8525.07526881721,3592.36363636364,4086.22580645161,1425,2687.35542168675,1817.5,8650,0,3321.05263157895,5480.03389830509,3141.20054945055,1544.24778761062,878.125,0,0,0,3914.81481481481,1204.23170731707
"COST_ENFORCE",2518.40860215054,15882.5454545455,25891.8709677419,2632.5,140.301204819277,4,0,0,0,1260.71186440678,173.434065934066,0,0,0,0,0,14.8148148148148,3.5609756097561
"COST_DUES",2562.7311827957,10191.9090909091,2425.61290322581,1010,358.415662650602,58.4,3500,0,865.789473684211,3262.84745762712,673.379120879121,229.646017699115,206.3125,0,0,0,285.185185185185,52.1341463414634
"COST_FREIGHT",987.634408602151,0,364.290322580645,500,215.246987951807,104,3500,0,5.26315789473684,661.271186440678,112.211538461538,138.938053097345,131.25,0,0,0,194.074074074074,75.9146341463415
"COST_OFFLOAD",1023.03225806452,1176.81818181818,4434.32258064516,0,625.759036144578,317.46,0,0,0,2746.1186440678,351.862637362637,249.557522123894,6.25,0,0,0,1051.85185185185,78.6585365853659
"COST_TRUCK",609.677419354839,0,796.774193548387,0,848.409638554217,452.5,1250,0,105.263157894737,3552.37288135593,684.744505494505,486.725663716814,575,0,0,0,1800,189.634146341463
"COST_OTHER",1343.47311827957,22348.2727272727,2980.51612903226,1075,2178.77710843374,1533,2750,0,2236.84210526316,3290.32203389831,1088.34340659341,296.46017699115,565.625,0,0,0,1251.85185185185,45.1219512195122
"COST_COMM",3835.65591397849,10296.6363636364,2834.06451612903,1125,1607.65662650602,874.6,5700,0,4726.31578947368,2201.33898305085,966.648351648352,725.486725663717,331.25,0,0,0,1303.7037037037,239.939024390244
"COST_TRAV",1137.61290322581,0,488.161290322581,625,428.915662650602,132,2750,0,552.631578947368,3044.37288135593,513.947802197802,353.097345132743,203.125,0,0,0,370.37037037037,0.609756097560976
"REV",717834.301075269,1474879.09090909,701366.451612903,64251.775,190061.65060241,54263.92,992762,0,232860.447368421,633465.694915254,269962.013736264,40230.814159292,23937.1875,0,0,0,161654,5489.1993902439
"CREW",3.61146989247312,3.90909090909091,2.83870967741935,2.25,2.58433734939759,1.88,5.3333325,0,2.47368421052632,3.16949152542373,3.2032967032967,1.47787610619469,1.8125,0,0,0,1.97283962962963,1.67987804878049
