"Cost","Alaska.Vessel","Pacific.Whiting.Trawler","Large.Groundfish.Trawler","Small.Groundfish.Trawler","Sablefish.Fixed.Gear","Other.Groundfish.Fixed.Gear","Pelagic.Netter","Migratory.Netter","Migratory.Liner","Shrimper","Crabber","Salmon.Troller","Salmon.Netter","Other.Netter","Lobster","Diver","OtherG15","OtherL15"
"COST_CAPTAIN",115277.2,111789.6,68425.91,0,53583.82,22960.09,0,NA,61860.53,82007.84,103421.4,31021.12,36084.61,0,NA,NA,65551.77,19745.58
"COST_CREW",176204.1,152055.2,85938.06,16206.71,73503.66,25452.73,250399.7,NA,60719.7,209046.4,70149.74,17342.91,29763.09,0,NA,NA,27364.54,14442.66
"COST_FUEL",80273.73,113732.8,30695.8,13549.02,15546.15,11140.823,43851.07,NA,34937.02,33257.04,20444.26,8755.104,8605.877,0,NA,NA,13355.92,8012.04
"COST_FOOD",10279.63,8452.568,6366.831,732.8028,5579.058,1150.2742,19510.68,NA,6372.528,7848.318,5388.511,2315.369,3540.7065,0,NA,NA,4487.393,1882.906
"COST_ICE",1463.741,22137.78,7840.922,2919.438,9051.095,1932.468,0,NA,1137.906,14001.71,6351.948,2600.701,136.7465,0,NA,NA,1555.205,956.6923
"COST_BAIT",23753.95,0,10712.31,223.6068,22963.51,10285.2366,13228.76,NA,22254.37,15260.14,18993.01,4470.737,0,0,NA,NA,17338.22,5706.431
"COST_RMI",76040.68,1257213,50565.3,0,29529.31,0,0,NA,0,54298.74,21934.82,0,0,0,NA,NA,0,0
"COST_INS",27046.02,36585.38,24939.87,11091.35,18192.42,2334.234,17078.25,NA,14544.17,29474.35,16012,5140.37,4563.043,0,NA,NA,4327.228,2789.648
"COST_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_PUR",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0
"COST_LEA",3734.526,0,3945.144,0,6667.473,0,0,NA,0,2031.01,0,0,0,0,NA,NA,0,0
"COST_MOORAGE",5869.784,10881.43,4662.171,2540.782,4819.62,2459.331,16015.62,NA,2398.328,4016.852,3281.271,2035.903,3230.124,0,NA,NA,1569.679,2562.2
"COST_LANDINGSTAX",7452.314,3145.163,3322.174,1738.678,3517.672,1638.5348,4784.35,NA,2282.028,6691.472,2332.879,1154.444,664.0464,0,NA,NA,2549.314,939.713
"COST_ENFORCE",6215.584,21248.58,21346.82,7792.274,4044.205,28.28427,0,NA,0,4994.103,1479.32,0,0,0,NA,NA,53.37605,15.66521
"COST_DUES",7223.333,9941.358,4968.514,0,1697.284,145.2072,4453.463,NA,1167.644,3359.755,1590.485,455.0833,566.1662,0,NA,NA,646.7098,290.1639
"COST_FREIGHT",1918.279,0,932.3336,0,403.1952,327.6135,4434.712,NA,1401.83,1500.906,897.9674,401.9008,283.3412,0,NA,NA,426.2832,295.4549
"COST_OFFLOAD",3358.775,8901.052,6305.971,13532.7,1632.844,844.26766,0,NA,2399.266,3158.64,3144.21,880.3134,35.35534,0,NA,NA,3933.131,1011.872
"COST_TRUCK",2537.105,0,329.0893,2616.868,2509.468,1131.2835,2500,NA,583.9971,8189.931,3640.054,1815.874,1507.4011,0,NA,NA,3620.242,795.9628
"COST_OTHER",3299.679,14216.97,10984.69,441.588,5854.096,4606.8672,1658.312,NA,3006.877,10547.97,3498.7,1191.745,909.31,0,NA,NA,1371.796,963.0259
"COST_COMM",4799.473,6753.364,1455.413,1257.776,1813.324,1070.4819,9535.198,NA,8018.246,1929.479,1596.387,1164.312,451.8332,0,NA,NA,1271.728,767.6632
"COST_TRAV",3802.586,1786.534,835.9189,0,2313.42,615.9247,4839.077,NA,1490.463,11637.75,2860.947,1427.767,738.9986,0,NA,NA,1334.401,654.8215
"REV",616369.5,580438.5,419442.6,29516.25,245004.1,41404.91,229596.7,NA,245832.6,349601.7,241451.1,39993.81,18710.575,0,NA,NA,110366,4036.977
"CREW",1.418591,0.8660254,0.7635725,0.8944272,0.9429654,0.944155,0.6666667,NA,1.555059,0.6656029,0.9059344,0.5694242,1.297874,0,NA,NA,0.6985831,0.7941136
