"Cost","Alaska.Vessel","Pacific.Whiting.Trawler","Large.Groundfish.Trawler","Small.Groundfish.Trawler","Sablefish.Fixed.Gear","Other.Groundfish.Fixed.Gear","Pelagic.Netter","Migratory.Netter","Migratory.Liner","Shrimper","Crabber","Salmon.Troller","Salmon.Netter","Other.Netter","Lobster","Diver","OtherG15","OtherL15"
"COST_CAPTAIN",105808.6,95543.19,80680.82,0,56151.36,22960.09,0,NA,61860.53,85433.98,104159.3,31021.12,36084.61,0,NA,NA,65551.77,19692.55
"COST_CREW",163876.5,66310.4,96323.01,14732.4,77390.05,25452.73,250399.7,NA,60719.7,205564.3,71845.35,17342.91,29763.09,0,NA,NA,27364.54,14402.78
"COST_FUEL",87143.73,108155.2,36962.45,7357.717,14472.07,11140.823,43851.07,NA,34937.02,35549.34,21604.96,8755.104,8605.877,0,NA,NA,13355.92,7988.402
"COST_FOOD",10146.31,11602.95,7696.758,1731.027,5159.538,1150.274,19510.68,NA,6372.528,6713.498,5539.198,2315.369,3540.707,0,NA,NA,4487.393,1877.433
"COST_ICE",1111.252,33564.52,8856.91,1596.773,9104.047,1932.468,0,NA,1137.906,13763.88,8096.793,2600.701,136.7465,0,NA,NA,1555.205,954.7174
"COST_BAIT",23719.31,0,12045.49,3521.6,24632.21,10285.237,13228.76,NA,22254.37,15084.73,19455.15,4470.737,0,0,NA,NA,17338.22,5690.388
"COST_RMI",66410.24,132918,129397.9,19454.05,17405.18,0,0,NA,0,71106.7,18471.63,0,0,0,NA,NA,0,0
"COST_INS",26607.81,22054.47,18834.4,8600.097,14438.76,2334.234,17078.25,NA,14544.17,28838.66,15937.52,5140.37,4563.043,0,NA,NA,4327.228,2864.61
"COST_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_PUR",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0
"COST_LEA",20425.18,0,3012.075,0,10083.94,0,0,NA,0,0,0,0,0,0,NA,NA,0,0
"COST_MOORAGE",6063.874,6979.056,3455.035,2579.47,4720.004,2459.331,16015.62,NA,2398.328,3620.292,3146.907,2035.903,3230.124,0,NA,NA,1569.679,2557.538
"COST_LANDINGSTAX",7459.616,4171.506,2291.867,612.3083,3582.168,1638.5348,4784.35,NA,2282.028,2500.125,2325.681,1154.444,664.0464,0,NA,NA,2549.314,937.9577
"COST_ENFORCE",6548.773,20434.78,21278.39,2303.62,2213.827,28.28427,0,NA,0,4802.809,1974.414,0,0,0,NA,NA,53.37605,273.6543
"COST_DUES",7054.376,7246.204,4854.217,2053.997,1461.173,145.2072,4453.463,NA,1167.644,6019.401,1575.247,455.0833,566.1662,0,NA,NA,646.7098,289.3974
"COST_FREIGHT",2264.802,0,396.9742,306.1862,403.5132,327.6135,4434.712,NA,1401.83,1403.848,741.9911,401.9008,283.3412,0,NA,NA,426.2832,295.0644
"COST_OFFLOAD",3518.997,1307.636,5063.182,7103.928,1639.685,844.26766,0,NA,2399.266,2655.069,2574.244,880.3134,35.35534,0,NA,NA,3933.131,1008.882
"COST_TRUCK",2537.105,0,3789.065,0,2523.641,1131.2835,2500,NA,583.9971,8370.886,3646.249,1815.874,1507.4011,0,NA,NA,3620.242,793.6573
"COST_OTHER",3743.494,10467.23,4689.689,840.3,4906.001,4606.867,1658.312,NA,3006.877,3231.405,3392.377,1191.746,909.31,0,NA,NA,1371.796,960.62
"COST_COMM",5138.259,4165.951,1687.642,1152.389,1798.491,1070.4819,9535.198,NA,8018.246,2777.462,1530.757,1164.312,451.8332,0,NA,NA,1271.728,778.3878
"COST_TRAV",2803.928,6528.823,1671.406,0,2265.635,615.9247,4839.077,NA,1490.463,11176.09,2853.23,1427.767,738.9986,0,NA,NA,1334.401,652.8987
"REV",578555.8,394303.7,488076.9,27892.7,264463.4,41404.91,229596.7,NA,245832.6,397368.2,250089.4,39993.81,18710.575,0,NA,NA,110366,4026.679
"CREW",1.435402,1.125992,0.7804969,0.7527727,0.9512647,0.944155,0.6666667,NA,1.555059,0.743135,0.8940579,0.5694242,1.297874,0,NA,NA,0.6985831,0.7982535
