"Cost","Alaska.Vessel","Pacific.Whiting.Trawler","Large.Groundfish.Trawler","Small.Groundfish.Trawler","Sablefish.Fixed.Gear","Other.Groundfish.Fixed.Gear","Pelagic.Netter","Migratory.Netter","Migratory.Liner","Shrimper","Crabber","Salmon.Troller","Salmon.Netter","Other.Netter","Lobster","Diver","OtherG15","OtherL15"
"COST_CAPTAIN",113681.9,70761.02,54997.56,0,52891.8,22821.79,0,NA,61860.53,78296.63,103678.5,31366.5,36084.61,0,NA,NA,65551.77,19745.58
"COST_CREW",172337.2,101474.4,61967.9,7889.867,57512.36,25248.968,250399.7,NA,60719.7,189383.5,79128.24,17740.12,29763.094,0,NA,NA,27364.54,14442.66
"COST_FUEL",54244.65,45901.89,22745.76,0,15504.88,11068.972,43851.07,NA,34937.02,21690.46,20734.85,8873.737,8605.877,0,NA,NA,13355.92,8012.04
"COST_FOOD",10298.33,8236.148,5709.636,946.4847,5031.807,1144.9271,19510.68,NA,6372.528,6725.864,5475.209,2311.835,3540.7065,0,NA,NA,4487.393,1882.906
"COST_ICE",1137.457,18876.42,7958.624,3065.3548,9206.356,1915.6712,0,NA,1137.906,13271.58,6247.171,2591.427,136.7465,0,NA,NA,1555.205,956.6923
"COST_BAIT",24213.97,0,6903.848,0,22052.35,10202.814,13228.76,NA,22254.37,13481.55,19733.72,4453.636,0,0,NA,NA,17338.22,5706.432
"COST_RMI",61348.27,172507,316667.4,0,11974.64,0,0,NA,0,139264.7,31415.51,0,0,0,NA,NA,0,0
"COST_INS",30173.82,36489.27,22450.15,12806.248,14537.47,2315.421,17078.25,NA,14544.17,33157.22,16971.09,6306.687,4563.043,0,NA,NA,4327.228,2789.648
"COST_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_PUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_LEA",3378.34,0,2603.341,0,0,0,0,NA,0,2373.307,1418.997,0,0,0,NA,NA,0,0
"COST_MOORAGE",6403.242,13404.85,4706.87,2714.16,5091.923,2435.004,16015.62,NA,2398.328,3498.632,3492.38,2037.004,3230.124,0,NA,NA,1569.679,2562.2
"COST_LANDINGSTAX",7498.601,2257.545,2716.182,1841.1953,3495.417,1622.0667,4784.35,NA,2282.028,2498.639,2355.778,1157.425,664.0464,0,NA,NA,2549.314,939.713
"COST_ENFORCE",5137.296,21809.95,19916.89,9000,4843.35,28.0056,0,NA,0,3672.451,2403.97,0,0,0,NA,NA,53.37605,15.66521
"COST_DUES",7281.236,7975.402,3679.856,0,1432.194,143.9803,4453.463,NA,1167.644,3103.932,1723.251,453.5591,566.1662,0,NA,NA,646.7098,290.1639
"COST_FREIGHT",1949.191,2001.68,435.1468,0,405.3026,324.6476,4434.712,NA,1401.83,1337.952,721.7563,400.3199,283.3412,0,NA,NA,426.2832,295.4549
"COST_OFFLOAD",3976.172,559.4283,5362.206,16325.5,5070.609,836.96369,0,NA,2399.266,2897.062,2568.758,876.6947,35.35534,0,NA,NA,3933.131,1011.872
"COST_TRUCK",2562.036,0,754.6354,2891.8622,2537.976,1121.7045,2500,NA,583.9971,9719.836,3638.165,1808.339,1507.4011,0,NA,NA,3620.242,795.9628
"COST_OTHER",13183.92,11367.61,10139.42,0,5848.137,4565.6151,1658.312,NA,3006.877,8036.218,3517.202,1188.672,909.31,0,NA,NA,1371.796,963.0259
"COST_COMM",4868.999,5340.256,2460.593,1531.8834,1761.868,1066.7762,9535.198,NA,8018.246,1956.295,1546.394,1161.076,451.8332,0,NA,NA,1271.728,767.6632
"COST_TRAV",2781.447,157.6041,1380.026,0,2091.659,610.0145,4839.077,NA,1490.463,10621.76,2857.129,1421.774,738.9986,0,NA,NA,1334.401,654.8215
"REV",573853.1,297557.1,316998.2,29489.167,173852.9,41028.797,229596.7,NA,245832.6,302976.6,281098.4,39836.64,18710.575,0,NA,NA,110366,4036.977
"CREW",1.428851,0.9816498,0.7687061,1,0.9392073,0.943502,0.6666667,NA,1.555059,0.8676267,0.9096386,0.5688945,1.297874,0,NA,NA,0.6985831,0.7941136
