"Cost","Alaska.Vessel","Pacific.Whiting.Trawler","Large.Groundfish.Trawler","Small.Groundfish.Trawler","Sablefish.Fixed.Gear","Other.Groundfish.Fixed.Gear","Pelagic.Netter","Migratory.Netter","Migratory.Liner","Shrimper","Crabber","Salmon.Troller","Salmon.Netter","Other.Netter","Lobster","Diver","OtherG15","OtherL15"
"COST_CAPTAIN",67721.5773195876,177810.090909091,85608.9696969697,0,35084.686746988,16624.6274509804,0,0,41028.9473684211,99128.6271186441,26692.9424657534,17157.5221238938,14775,0,0,0,50148.1481481481,539.877300613497
"COST_CREW",167834.536082474,253091.818181818,114381.848484848,10750,38635.0963855422,12555.2156862745,285000,0,5526.31578947368,108394.644067797,29703.1095890411,1283.18584070796,9512.5,0,0,0,25061.1111111111,438.650306748466
"COST_FUEL",51965.8041237113,130192.636363636,41824.4242424242,0,15997.3674698795,8265.35294117647,86250,0,27084.2105263158,43199.7796610169,18235.4821917808,7148.24778761062,4278.125,0,0,0,16374.0740740741,327.60736196319
"COST_FOOD",10314.4329896907,11221.3636363636,5394.42424242424,1625,4168.34337349398,639.901960784314,21000,0,6081.57894736842,6373.83050847458,3563.87123287671,1870.35398230089,1378.125,0,0,0,3914.81481481481,54.601226993865
"COST_ICE",375.257731958763,10940.1818181818,10188,2210,2788.55421686747,701.960784313726,0,0,823.684210526316,11153.6440677966,973.353424657534,61.9469026548673,53.125,0,0,0,1007.40740740741,268.711656441718
"COST_BAIT",18490.1546391753,0,3920.90909090909,0,19799.921686747,4575.29411764706,22500,0,14436.8421052632,12928.3050847458,17482.7260273973,99.1150442477876,0,0,0,0,12326.4814814815,1666.25766871166
"COST_RMI",21790.5257731959,194521.363636364,98560.2424242424,0,1761.31927710843,0,0,0,0,54550.8813559322,4875.93698630137,0,0,0,0,0,0,0
"COST_INS",32458.9072164948,75603.8181818182,38808.7575757576,9000,8502.0843373494,1677.33333333333,47500,0,12950,40745.0169491525,7357.31506849315,3163.71681415929,1784.375,0,0,0,2966.66666666667,701.552147239264
"COST_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_PUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_LEA",514.432989690722,0,663.636363636364,0,0,0,0,0,0,559.745762711864,0,0,0,0,0,0,0,0
"COST_MOORAGE",8133.60824742268,14107.7272727273,6138,3100,4326.28915662651,2061.19607843137,16000,0,4278.94736842105,5374.89830508475,3862.26849315069,2853.80530973451,1128.125,0,0,0,2920.74074074074,2081.77914110429
"COST_LANDINGSTAX",5701.0618556701,4152.09090909091,3153.75757575758,1850,2619.3313253012,1817.43137254902,8650,0,3321.05263157895,3926.45762711864,3104.64931506849,1555.75221238938,878.125,0,0,0,3914.81481481481,1189.8773006135
"COST_ENFORCE",2796.72164948454,15346.6363636364,23651.5454545455,4500,624.493975903614,3.92156862745098,0,0,0,1729.77966101695,328.86301369863,0,0,0,0,0,14.8148148148148,0
"COST_DUES",3247.79381443299,9583.27272727273,2495.66666666667,0,473.963855421687,57.2549019607843,3500,0,865.789473684211,2429.84745762712,588.783561643836,226.991150442478,206.3125,0,0,0,285.185185185185,52.4539877300613
"COST_FREIGHT",907.948453608247,866.636363636364,135.484848484848,0,209.638554216867,101.960784313725,3500,0,5.26315789473684,555.983050847458,123.61095890411,138.938053097345,131.25,0,0,0,194.074074074074,76.3803680981595
"COST_OFFLOAD",1027.83505154639,296,3310.75757575758,8162.75,846.234939759036,311.235294117647,0,0,0,2089.54237288136,350.216438356164,249.557522123894,6.25,0,0,0,1051.85185185185,78.5276073619632
"COST_TRUCK",584.536082474227,0,213.393939393939,1700.25,594.933734939759,443.627450980392,1250,0,105.263157894737,3745.01694915254,687.030136986301,486.725663716814,575,0,0,0,1800,190.79754601227
"COST_OTHER",2291.88659793814,9153.63636363636,4811.51515151515,0,2425.53012048193,1502.94117647059,2750,0,2236.84210526316,4582.74576271186,899.8,295.575221238938,565.625,0,0,0,1251.85185185185,41.1042944785276
"COST_COMM",3674.03092783505,7283.18181818182,2654.60606060606,1500,1586.35542168675,857.450980392157,5700,0,4726.31578947368,2025.40677966102,974.978082191781,713.097345132743,331.25,0,0,0,1303.7037037037,232.208588957055
"COST_TRAV",1089.47422680412,91.6363636363636,413.212121212121,0,428.915662650602,129.411764705882,2750,0,552.631578947368,2645.94915254237,511.654794520548,353.097345132743,203.125,0,0,0,370.37037037037,0.613496932515337
"REV",681272.474226804,971704.909090909,556438.848484849,56989.725,173916.801204819,54517.6274509804,992762,0,232860.447368421,516413.06779661,258926.778082192,40488.3362831858,23937.1875,0,0,0,161654,5520.78957055215
"CREW",3.56563608247423,3.81818181818182,2.75757575757576,2.5,2.60843373493976,1.84313725490196,5.3333325,0,2.47368421052632,3.25423728813559,3.18356164383562,1.48672566371681,1.8125,0,0,0,1.97283962962963,1.67177914110429
